timestamp,event_type,key,button,scroll_dx,scroll_dy,mouse_x,mouse_y,event_state
1748625282.4504392,mouse_move,,,,,1006,1076,moved
1748625282.4587183,mouse_move,,,,,1009,1077,moved
1748625282.4644432,mouse_move,,,,,1011,1079,moved
1748625282.4728546,mouse_move,,,,,1014,1080,moved
1748625282.4794059,mouse_move,,,,,1019,1082,moved
1748625282.485108,mouse_move,,,,,1024,1081,moved
1748625282.4935966,mouse_move,,,,,1034,1082,moved
1748625282.500927,mouse_move,,,,,1047,1080,moved
1748625282.507968,mouse_move,,,,,1070,1079,moved
1748625282.5149682,mouse_move,,,,,1106,1077,moved
1748625282.5214303,mouse_move,,,,,1135,1072,moved
1748625282.5299428,mouse_move,,,,,1164,1064,moved
1748625282.5369325,mouse_move,,,,,1191,1058,moved
1748625282.5428956,mouse_move,,,,,1218,1051,moved
1748625282.5491803,mouse_move,,,,,1240,1045,moved
1748625282.5593238,mouse_move,,,,,1261,1041,moved
1748625282.5640347,mouse_move,,,,,1279,1037,moved
1748625282.5708725,mouse_move,,,,,1294,1036,moved
1748625282.5789516,mouse_move,,,,,1306,1035,moved
1748625282.5838315,mouse_move,,,,,1317,1035,moved
1748625282.5913272,mouse_move,,,,,1325,1035,moved
1748625282.597785,mouse_move,,,,,1331,1035,moved
1748625282.6051779,mouse_move,,,,,1337,1035,moved
1748625282.6122763,mouse_move,,,,,1340,1035,moved
1748625282.6184502,mouse_move,,,,,1343,1034,moved
1748625282.625723,mouse_move,,,,,1344,1034,moved
1748625282.6332078,mouse_move,,,,,1346,1033,moved
1748625282.6407707,mouse_move,,,,,1347,1032,moved
1748625282.64785,mouse_move,,,,,1348,1032,moved
1748625282.6538863,mouse_move,,,,,1348,1032,moved
1748625282.9548786,mouse_move,,,,,1339,1033,moved
1748625282.9618478,mouse_move,,,,,1327,1035,moved
1748625282.9692063,mouse_move,,,,,1316,1037,moved
1748625282.9760315,mouse_move,,,,,1306,1039,moved
1748625282.982888,mouse_move,,,,,1298,1042,moved
1748625282.9904222,mouse_move,,,,,1291,1043,moved
1748625282.9960954,mouse_move,,,,,1284,1045,moved
1748625283.0040722,mouse_move,,,,,1280,1046,moved
1748625283.0102284,mouse_move,,,,,1275,1047,moved
1748625283.0172098,mouse_move,,,,,1273,1049,moved
1748625283.0247917,mouse_move,,,,,1271,1049,moved
1748625283.0324295,mouse_move,,,,,1269,1050,moved
1748625283.0389733,mouse_move,,,,,1268,1050,moved
1748625283.0451643,mouse_move,,,,,1267,1051,moved
1748625283.0531065,mouse_move,,,,,1267,1051,moved
1748625283.0658514,mouse_move,,,,,1266,1051,moved
1748625283.079505,mouse_move,,,,,1266,1051,moved
1748625283.1234486,mouse_move,,,,,1266,1052,moved
1748625283.1429732,mouse_move,,,,,1266,1052,moved
1748625283.2563791,mouse_move,,,,,1266,1053,moved
1748625283.3609145,mouse_move,,,,,1266,1053,moved
1748625283.3747103,mouse_move,,,,,1266,1054,moved
1748625283.4655852,mouse_move,,,,,1266,1054,moved
1748625283.5134065,mouse_move,,,,,1266,1054,moved
1748625283.6198516,mouse_move,,,,,1266,1054,moved
1748625283.627695,mouse_move,,,,,1267,1054,moved
1748625283.63979,mouse_move,,,,,1268,1054,moved
1748625283.6630938,mouse_move,,,,,1268,1054,moved
1748625283.6691432,mouse_move,,,,,1268,1055,moved
1748625283.6753953,mouse_move,,,,,1269,1055,moved
1748625283.6831312,mouse_move,,,,,1269,1055,moved
1748625283.695948,mouse_move,,,,,1270,1056,moved
1748625283.7026534,mouse_move,,,,,1271,1056,moved
1748625283.7103922,mouse_move,,,,,1272,1056,moved
1748625283.7170758,mouse_move,,,,,1272,1056,moved
1748625283.7242608,mouse_move,,,,,1273,1057,moved
1748625283.7309012,mouse_move,,,,,1274,1057,moved
1748625283.7381668,mouse_move,,,,,1275,1058,moved
1748625283.7456489,mouse_move,,,,,1277,1058,moved
1748625283.752085,mouse_move,,,,,1279,1059,moved
1748625283.7582066,mouse_move,,,,,1280,1060,moved
1748625283.7653446,mouse_move,,,,,1282,1060,moved
1748625283.773191,mouse_move,,,,,1284,1060,moved
1748625283.7800946,mouse_move,,,,,1286,1061,moved
1748625283.787146,mouse_move,,,,,1287,1062,moved
1748625283.7936926,mouse_move,,,,,1289,1063,moved
1748625283.8010857,mouse_move,,,,,1292,1063,moved
1748625283.8073592,mouse_move,,,,,1293,1063,moved
1748625283.8147643,mouse_move,,,,,1295,1063,moved
1748625283.8212113,mouse_move,,,,,1296,1063,moved
1748625283.829069,mouse_move,,,,,1298,1064,moved
